"GCAM_region_ID","year","value","scenario"
20,2095,474656.896245939,"gSSP1"
20,2096,474656.896245939,"gSSP1"
20,2097,474656.896245939,"gSSP1"
20,2098,474656.896245939,"gSSP1"
20,2099,474656.896245939,"gSSP1"
20,2100,474656.896245939,"gSSP1"
20,1971,97838.7267966682,"gSSP2"
20,1972,100191.98161974,"gSSP2"
20,1973,101891.856847454,"gSSP2"
20,1974,103288.383632686,"gSSP2"
20,1975,104516.932961988,"gSSP2"
20,1976,105092.295647764,"gSSP2"
20,1977,105486.989648067,"gSSP2"
20,1978,107604.447796568,"gSSP2"
20,1979,110028.274822449,"gSSP2"
20,1980,112545.774700204,"gSSP2"
20,1981,115187.745491812,"gSSP2"
20,1982,116750.374388156,"gSSP2"
20,1983,118418.753398594,"gSSP2"
20,1984,120308.642752891,"gSSP2"
20,1985,122262.109117585,"gSSP2"
20,1986,124071.047000298,"gSSP2"
20,1987,125563.901803043,"gSSP2"
20,1988,127597.501846335,"gSSP2"
20,1989,129633.698729263,"gSSP2"
20,1990,132262.165251933,"gSSP2"
20,1991,135368.53279542,"gSSP2"
20,1992,137956.486764089,"gSSP2"
20,1993,140879.376769703,"gSSP2"
20,1994,143688.173117024,"gSSP2"
20,1995,145306.153434232,"gSSP2"
20,1996,145721.189076513,"gSSP2"
20,1997,148499.700630311,"gSSP2"
20,1998,151872.461516896,"gSSP2"
20,1999,155597.718581723,"gSSP2"
20,2000,159895.040764913,"gSSP2"
20,2001,164906.634633915,"gSSP2"
20,2002,169683.928632322,"gSSP2"
20,2003,173893.176075463,"gSSP2"
20,2004,178713.64991584,"gSSP2"
20,2005,183727.490582917,"gSSP2"
20,2006,188927.530835628,"gSSP2"
20,2007,194154.087874111,"gSSP2"
20,2008,198090.872791495,"gSSP2"
20,2009,199296.534606238,"gSSP2"
20,2010,199624.203212226,"gSSP2"
20,2011,198790.305778391,"gSSP2"
20,2012,194164.167102027,"gSSP2"
20,2013,186806.656164027,"gSSP2"
20,2014,178380.749494575,"gSSP2"
20,2015,169376.792473289,"gSSP2"
20,2016,160838.533398999,"gSSP2"
20,2017,153745.333881567,"gSSP2"
20,2018,147836.62602144,"gSSP2"
20,2019,142645.037605994,"gSSP2"
20,2020,137942.103572473,"gSSP2"
20,2021,134335.817180478,"gSSP2"
20,2022,132640.295196158,"gSSP2"
20,2023,133186.661707551,"gSSP2"
20,2024,137462.53600183,"gSSP2"
20,2025,144892.646196706,"gSSP2"
20,2026,155569.51812987,"gSSP2"
20,2027,169756.838986049,"gSSP2"
20,2028,186940.380331956,"gSSP2"
20,2029,205320.502145466,"gSSP2"
20,2030,224443.334827403,"gSSP2"
20,2031,243653.330723094,"gSSP2"
20,2032,263162.233429204,"gSSP2"
20,2033,282970.042945736,"gSSP2"
20,2034,302326.52350061,"gSSP2"
20,2035,321231.675093827,"gSSP2"
20,2036,339685.497725387,"gSSP2"
20,2037,357687.99139529,"gSSP2"
20,2038,375239.156103535,"gSSP2"
20,2039,391661.480844498,"gSSP2"
20,2040,406954.965618179,"gSSP2"
20,2041,421119.610424579,"gSSP2"
20,2042,434155.415263697,"gSSP2"
20,2043,446062.380135532,"gSSP2"
20,2044,456450.438173203,"gSSP2"
20,2045,465319.58937671,"gSSP2"
20,2046,472669.833746051,"gSSP2"
20,2047,478501.171281228,"gSSP2"
20,2048,482813.601982239,"gSSP2"
20,2049,485871.351487439,"gSSP2"
20,2050,487674.419796826,"gSSP2"
20,2051,488222.806910401,"gSSP2"
20,2052,488222.806910401,"gSSP2"
20,2053,488222.806910401,"gSSP2"
20,2054,488222.806910401,"gSSP2"
20,2055,488222.806910401,"gSSP2"
20,2056,488222.806910401,"gSSP2"
20,2057,488222.806910401,"gSSP2"
20,2058,488222.806910401,"gSSP2"
20,2059,488222.806910401,"gSSP2"
20,2060,488222.806910401,"gSSP2"
20,2061,488222.806910401,"gSSP2"
20,2062,488222.806910401,"gSSP2"
20,2063,488222.806910401,"gSSP2"
20,2064,488222.806910401,"gSSP2"
20,2065,488222.806910401,"gSSP2"
20,2066,488222.806910401,"gSSP2"
20,2067,488222.806910401,"gSSP2"
20,2068,488222.806910401,"gSSP2"
20,2069,488222.806910401,"gSSP2"
20,2070,488222.806910401,"gSSP2"
20,2071,488222.806910401,"gSSP2"
20,2072,488222.806910401,"gSSP2"
20,2073,488222.806910401,"gSSP2"
20,2074,488222.806910401,"gSSP2"
20,2075,488222.806910401,"gSSP2"
20,2076,488222.806910401,"gSSP2"
20,2077,488222.806910401,"gSSP2"
20,2078,488222.806910401,"gSSP2"
20,2079,488222.806910401,"gSSP2"
20,2080,488222.806910401,"gSSP2"
20,2081,488222.806910401,"gSSP2"
20,2082,488222.806910401,"gSSP2"
20,2083,488222.806910401,"gSSP2"
20,2084,488222.806910401,"gSSP2"
20,2085,488222.806910401,"gSSP2"
20,2086,488222.806910401,"gSSP2"
20,2087,488278.009542479,"gSSP2"
20,2088,488521.691286052,"gSSP2"
20,2089,488928.80616688,"gSSP2"
20,2090,489499.354184965,"gSSP2"
20,2091,490233.335340305,"gSSP2"
20,2092,491130.749632901,"gSSP2"
20,2093,492191.597062753,"gSSP2"
20,2094,492595.975371867,"gSSP2"
20,2095,493040.837655816,"gSSP2"
20,2096,493536.304908311,"gSSP2"
20,2097,494096.178484408,"gSSP2"
20,2098,494739.780281188,"gSSP2"
20,2099,495405.093421773,"gSSP2"
20,2100,496100.25966009,"gSSP2"
20,1971,97838.7267966682,"gSSP3"
20,1972,100191.98161974,"gSSP3"
20,1973,101891.856847454,"gSSP3"
20,1974,103288.383632686,"gSSP3"
20,1975,104516.932961988,"gSSP3"
20,1976,105092.295647764,"gSSP3"
20,1977,105486.989648067,"gSSP3"
20,1978,107604.447796568,"gSSP3"
20,1979,110028.274822449,"gSSP3"
20,1980,112545.774700204,"gSSP3"
20,1981,115187.745491812,"gSSP3"
20,1982,116750.374388156,"gSSP3"
20,1983,118418.753398594,"gSSP3"
20,1984,120308.642752891,"gSSP3"
20,1985,122262.109117585,"gSSP3"
20,1986,124071.047000298,"gSSP3"
20,1987,125563.901803043,"gSSP3"
20,1988,127597.501846335,"gSSP3"
20,1989,129633.698729263,"gSSP3"
20,1990,132262.165251933,"gSSP3"
20,1991,135368.53279542,"gSSP3"
20,1992,137956.486764089,"gSSP3"
20,1993,140879.376769703,"gSSP3"
20,1994,143688.173117024,"gSSP3"
20,1995,145306.153434232,"gSSP3"
20,1996,145721.189076513,"gSSP3"
20,1997,148499.700630311,"gSSP3"
20,1998,151872.461516896,"gSSP3"
20,1999,155597.718581723,"gSSP3"
20,2000,159895.040764913,"gSSP3"
20,2001,164906.634633915,"gSSP3"
20,2002,169683.928632322,"gSSP3"
